Year,major,score
2017,翻译学,345
2017,政治学,310
2017,外国语言学及应用语言学,345
2017,学科教学(历史),310
2017,学科教学(体育),310
2017,教育管理,310
2017,应用心理学,310
2017,学科教学(音乐),310
2017,心理健康教育,310
2017,教育经济与管理,340
2017,英语语言文学,345
2017,翻译,345
2017,职业发展教育,340
2017,日语语言文学,345
2017,学科教学(美术),310
2017,俄语语言文学,345
2017,基础心理学,310
2017,新闻与传播,345
2017,中国古典文献学,345
2017,中国现当代文学,345
2017, 汉语言文字学,345
2017,比较文学与世界文学,345
2017,秘书学,345
2017,比较文学与世界文学,345
2017,英语语言文学,345
2017,新闻学,345
2017,文艺学,345
2017,语言学及应用语言学,345
2017,艺术,335
2017,传播学,345
2017,中国古代文学,345
2017,德语语言文学 ,345
2017,学科教学（历史）  ,310
2017,汉语国际教育,345
2017,图书情报与档案管理,340
2017,美学,285
2017,世界史,315
2017,社会工作硕士,310
2017,旅游管理,340
2017,社会保障,340
2017,图书情报,170
2017,社会学,310
2017,中国史,315
2017,情报学,340
2017,档案学,340
2017,公共管理 ,170
2017,图书馆学,340
2017,核能与核技术工程（专业学位）,-
2017,社会工作（专业学位）,-
2017,材料工程（专业学位）,-
2017,核科学与技术,-
2017,外国语言学及应用语言学,-
2017,英语语言文学,-
2017,英语笔译（专业学位）,-
2017,应用心理学,-
2017,数学,-
2017,光学,-
2017,光学工程,-
2017,社会学,-
2017,系统科学,-
2017,化学工程（专业学位）,-
2017,法学,-
2017,材料科学与工程,-
2017,公共管理,-
2017,设计学,-
2017,工商管理,-
2017,化学工程与技术,-
2017,软件工程,-
2017,电子与通信工程（专业学位）,-
2017,机械工程（专业学位）,-
2017,机械工程,-
2017,信息与通信工程学院,-
2017,应用经济学,-
2017,管理科学与工程,-
2017,软件工程,-
2017,计算机技术（专业学位）,-
2017,水声工程,-
2017,电子与通信工程（专业学位）,-
2017,生物医学工程,-
2017,声学,-
2017,船舶与海洋工程（专业学位）,-
2017,控制工程（专业学位）,-
2017,信息与通信工程,-
2017,计算机科学与技术,-
2017,电气工程,-
2017,企业管理,340
2017,工商管理,340
2017,仪器科学与技术,-
2017,旅游管理,340
2017, 管理科学与工程,340
2017,土地资源管理,340
2017,劳动经济学,334
2017,产业经济学,335
2017,国民经济学,335
2017, 轮机工程,-
2017,数量经济学,335
2017,区域经济学,335
2017,保险硕士,335
2017, 国际贸易学,335
2017,金融,335
2017,控制科学与工程,-
2017,财政学,335
2017,统计学,335
2017,金融学,335
2017,动力工程（专业学位）,-
2017,艺术设计,335
2017,工业设计工程,265
2017,船舶与海洋结构物设计制造,-
2017,船舶与海洋工程（专业学位）,-
2017,航天工程（专业学位）,-
2017,动力工程及工程热物理,-
2017,美术,335
2017,美术学,335
2017,艺术学理论,335
2017,航空宇航科学与技术,-
2017,建筑与土木工程（专业学位）,-
2017,土木工程,-
2017,设计学,335
2017,力学,-
2017,力学,-
2017,体育硕士,310
2017,体育学,310
2017,教育管理硕士,310
2017,教育经济与管理,340
2017,应用心理硕士,310
2017,船舶与海洋工程（专业学位）,265
2017,化学工程（专业学位）,265
2017,职业技术教育硕士,310
2017,电子与通信工程（专业学位）,265
2017,教育学,310
2017,建筑与土木工程,265
2017,控制工程（专业学位）,265
2017,材料工程（专业学位）,265
2017,心理学,310
2017,电气工程（专业学位）,265
2017,公共管理（专业学位）,170
2017,工商管理（专业学位）,170
2017,电子与通信工程（专业学位）,265
2017,政治经济学,335
2017,工商管理,340
2017,项目管理（专业学位）,265
2017,公共管理硕士,170
2017,国际商务硕士,335
2017,税务硕士,335
2017,计算机技术（专业学位）,265
2017,世界经济,335
2017,金融硕士,335
2017,工商管理硕士,170
2017,应用经济学,335
2017,会计硕士,170
2017,政治学,310
2017,马克思主义哲学,285
2017,土地资源管理,340
2017,伦理学,285
2017,社会医学与卫生事业管理,340
2017,外国哲学,285
2017,管理哲学,285
2017,软件工程,265
2017,地方政府与社会管理,310
2017,思想政治教育,310
2017,逻辑学,285
2017,科学技术哲学,285
2017,中国哲学,285
2017,行政管理,340
2017,管理科学与工程,340
2017,护理,295
2017,环境工程,265
2017,现代教育技术,310
2017,软件工程,265
2017,环境科学,290
2017,环境工程,290
2017,算机应用技术,290
2017,教育技术学,290
2017,生态学,290
2017,护理 ,295
2017,软件工程,265
2017,药剂学,295
2017,药物分析学 ,295
2017,生药学,295
2017,药学,295
2017,儿科学,295
2017,影像医学与核医学,295
2017,影像医学与核医学 ,295
2017,临床检验诊断学,295
2017, 皮肤病与性病学,295
2017, 临床检验诊断学 ,295
2017, 内科学 ,295
2017,外科学,295
2017,艺术设计(专业学位) ,335
2017,皮肤病与性病学,295
2017,妇产科学 ,295
2017,艺术设计 ,335
2017,儿科学,295
2017,美术学,335
2017,内科学,295
2017,农村与区域发展 ,255
2017,病理学与病理生理学,295
2017,法医学,295
2017, 农业资源利用,255
2017,兽医,255
2017, 作物,255
2017,兽医学,255
2017,食品加工与安全 ,255
2017,养殖,255
2017,园艺 ,25
2017,农村与区域发展 ,255
2017,病原生物学,295
2017,园艺,255
2017,食品加工与安全 ,255
2017,畜牧学,255
2017,广播电视,345
2017,艺术学理论,335
2017,戏剧与影视学,335
2017,药理学,295
2017,新闻与传播,345
2017,园艺学 ,255
2017,结构工程,265
2017,兽医学,255
2017,卫生毒理学,295
2017,作物学 ,255
2017,人文地理学 ,290
2017,作物 ,255
2017,传播学,345
2017,地图学与地理信息系统,290
2017, 生物化学与分子生物学,290
2017, 新闻学,345
2017,物理学 ,290
2017, 机械设计及理论 ,265
2017,学科教学（地理）,310
